  409.7   534.1
  388.4   507.0
  368.7   466.6
  350.2   442.7
  333.0   419.3
  316.9   393.1
  301.8   375.0
  287.7   349.1
  274.4   329.1
  262.0   311.1
  250.3   295.9
  239.4   283.6
  229.0   264.9
  219.4   254.0
  204.2   240.7
  195.7   231.1
  187.6   217.9
  180.0   208.4
  172.8   199.3
  166.1   191.7
  159.7   182.5
  153.7   175.8
  148.1   168.4
  142.7   162.4
  137.7   151.7
  133.0   145.4
  128.5   140.4
  124.3   135.6
  120.3   131.1
  116.6   124.9
  113.0   120.9
  109.7   117.2
