  920.5  1116.2
  854.7  1033.0
  796.1   959.2
  743.5   893.2
  696.0   833.7
  652.9   779.7
  613.5   730.5
  577.3   685.4
  544.0   643.9
  513.3   605.7
  479.9   565.3
  453.5   532.5
  428.9   502.0
  406.0   473.6
  384.7   447.2
  364.8   422.5
  346.1   399.4
  328.7   377.7
  312.3   357.5
  297.0   338.5
  282.6   320.7
  269.1   304.0
  256.4   288.3
  244.5   273.6
  233.3   259.8
  222.8   246.8
  212.9   234.5
  203.6   223.1
  194.9   212.3
  186.7   202.1
  179.0   192.6
  171.7   183.6
