5.875000 0.337550 0.024490 0.000000
6.527000 0.357140 0.032860 0.000000
7.180000 0.383270 0.040590 0.000000
8.486000 0.417550 0.048590 0.000000
11.097000 0.460000 0.063760 0.000000
13.055000 0.491020 0.074450 0.000000
16.971000 0.533470 0.094160 0.000000
21.540000 0.564490 0.114510 0.000000
24.800000 0.580820 0.126930 0.001030
27.415000 0.592250 0.136900 0.002860
33.290000 0.610200 0.155500 0.017210
39.817000 0.621630 0.172300 0.059010
48.956000 0.634690 0.190120 0.133080
54.830000 0.637140 0.198570 0.158160
62.010000 0.642860 0.206700 0.178870
73.760000 0.644490 0.215460 0.195710
84.856000 0.642860 0.220430 0.204340
93.689000 0.641220 0.223090 0.209130
101.828000 0.637960 0.225050 0.212530
109.008000 0.636330 0.226630 0.214820
116.188000 0.633060 0.228220 0.216540
121.410000 0.631430 0.229410 0.217500
129.243000 0.628160 0.230610 0.218590
139.034000 0.624900 0.231430 0.219690
148.825000 0.620000 0.232650 0.220860
161.060000 0.611840 0.233880 0.222670
175.587000 0.600410 0.233880 0.225150
182.768000 0.595510 0.233880 0.226310
191.906000 0.584080 0.233880 0.227580
203.655000 0.566120 0.233880 0.228940
224.543000 0.528570 0.233880 0.230430
